"Date","InCount","outlier"
"479","2010-11-07","10138",2
"480","2010-11-08","5176",2
"481","2010-11-09","6226",2
"482","2010-11-10","7728",2
"483","2010-11-11","6231",2
"484","2010-11-12","8236",2
"485","2010-11-13","8275",2
"486","2010-11-14","8405",2
"487","2010-11-15","5708",2
"488","2010-11-16","6031",2
"489","2010-11-17","6616",2
"490","2010-11-18","7809",2
"491","2010-11-19","10308",2
"492","2010-11-20","10454",2
"493","2010-11-21","8264",2
"494","2010-11-22","5980",2
"495","2010-11-23","7369",2
"496","2010-11-24","7696",2
"497","2010-11-25","8422",2
"498","2010-11-26","10916",2
"499","2010-11-27","10601",2
"500","2010-11-28","8237",2
"501","2010-11-29","5071",2
"502","2010-11-30","6311",2
"503","2010-12-01","5043",2
"504","2010-12-02","5204",2
"505","2010-12-03","8130",2
"506","2010-12-04","8979",2
"507","2010-12-05","7884",2
"508","2010-12-06","5690",2
"509","2010-12-07","6383",2
"510","2010-12-08","7767",2
"511","2010-12-09","7609",2
"512","2010-12-10","12077",2
"513","2010-12-11","12272",2
"514","2010-12-12","9085",2
"515","2010-12-13","6149",2
"516","2010-12-14","6917",2
"517","2010-12-15","7185",2
"518","2010-12-16","7816",2
"519","2010-12-17","12534",2
"520","2010-12-18","11330",2
"521","2010-12-19","7779",2
"522","2010-12-20","4965",2
"523","2010-12-21","6466",2
"524","2010-12-22","7240",2
"525","2010-12-23","7106",2
"526","2010-12-24","7369",2
"527","2010-12-25","882",2
"528","2010-12-26","2510",2
"529","2010-12-27","8557",2
"530","2010-12-28","4562",2
"531","2010-12-29","6971",2
"532","2010-12-30","5634",2
"533","2010-12-31","8011",2
"534","2011-01-01","8719",2
"535","2011-01-02","3137",2
"536","2011-01-03","3053",2
"537","2011-01-04","4564",2
"538","2011-01-05","5889",2
"539","2011-01-06","5360",2
"540","2011-01-07","6538",2
"541","2011-01-08","6375",2
"542","2011-01-09","4815",2
"543","2011-01-10","5047",2
"544","2011-01-11","5340",2
"545","2011-01-12","6599",2
"546","2011-01-13","6267",2
"547","2011-01-14","9752",2
"548","2011-01-15","9770",2
"549","2011-01-16","8075",2
"550","2011-01-17","5579",2
"551","2011-01-18","6554",2
"552","2011-01-19","7936",2
"553","2011-01-20","7043",2
"554","2011-01-21","8972",2
"555","2011-01-22","11170",2
"556","2011-01-23","8746",2
"557","2011-01-24","5355",2
"558","2011-01-25","6028",2
"559","2011-01-26","7320",2
"560","2011-01-27","6902",2
"561","2011-01-28","10772",2
"562","2011-01-29","12814",2
"563","2011-01-30","11482",2
"564","2011-01-31","6066",2
"565","2011-02-01","6577",2
"566","2011-02-02","8461",2
"567","2011-02-03","6774",2
"568","2011-02-04","7741",2
"569","2011-02-05","7866",2
"570","2011-02-06","8142",2
"571","2011-02-07","5712",2
"572","2011-02-08","7231",2
"573","2011-02-09","7674",2
"574","2011-02-10","8344",2
"575","2011-02-11","9752",2
"576","2011-02-12","10914",2
"577","2011-02-13","9242",2
"578","2011-02-14","6517",2
"579","2011-02-15","6686",2
"580","2011-02-16","7116",2
"581","2011-02-17","6803",2
