Date,InCount,BRCWeek,LocationName,Hour,Weekday,NewDate,Month,Year,Day,Day_yr,Month_yr,Week_yr,Hour_yr,week_no
01/01/2009,381,53,AlbionStNorth,15,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,393,53,AlbionStNorth,16,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,361,53,AlbionStNorth,17,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,290,53,AlbionStNorth,18,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,190,53,AlbionStNorth,19,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,104,53,AlbionStNorth,20,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,29,53,AlbionStNorth,21,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,17,53,AlbionStNorth,22,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,12,53,AlbionStNorth,23,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,4,53,AlbionStSouth,0,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,3,53,AlbionStSouth,1,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,2,53,AlbionStSouth,2,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,1,53,AlbionStSouth,3,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,1,53,AlbionStSouth,4,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,5,53,AlbionStSouth,5,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,15,53,AlbionStSouth,6,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,39,53,AlbionStSouth,7,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,91,53,AlbionStSouth,8,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,110,53,AlbionStSouth,9,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,227,53,AlbionStSouth,10,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,408,53,AlbionStSouth,11,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,667,53,AlbionStSouth,12,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,820,53,AlbionStSouth,13,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,579,53,AlbionStSouth,14,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,454,53,AlbionStSouth,15,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
01/01/2009,562,53,AlbionStSouth,16,Thursday,01-Jan-09,1,2009,1,Thursday/01-Jan-2009,Jan-09,00-2009,"00, 01-Jan-2009",1
