"V1","V2","V3","V4"
"2017-04-15","20","2017-04-15-20","3841"
"2017-04-15","21","2017-04-15-21","2844"
"2017-04-15","22","2017-04-15-22","3576"
"2017-04-15","23","2017-04-15-23","2777"
"2017-04-16","0","2017-04-16-0","1735"
"2017-04-16","1","2017-04-16-1","1490"
"2017-04-16","2","2017-04-16-2","1265"
"2017-04-16","3","2017-04-16-3","906"
"2017-04-16","4","2017-04-16-4","541"
"2017-04-16","5","2017-04-16-5","286"
"2017-04-16","6","2017-04-16-6","291"
"2017-04-16","7","2017-04-16-7","275"
"2017-04-16","8","2017-04-16-8","479"
"2017-04-16","9","2017-04-16-9","924"
"2017-04-16","10","2017-04-16-10","2046"
"2017-04-16","11","2017-04-16-11","4267"
"2017-04-16","12","2017-04-16-12","5405"
"2017-04-16","13","2017-04-16-13","6198"
"2017-04-16","14","2017-04-16-14","6663"
"2017-04-16","15","2017-04-16-15","5604"
"2017-04-16","16","2017-04-16-16","4596"
"2017-04-16","17","2017-04-16-17","3244"
"2017-04-16","18","2017-04-16-18","2818"
"2017-04-16","19","2017-04-16-19","2754"
"2017-04-16","20","2017-04-16-20","1574"
"2017-04-16","21","2017-04-16-21","1132"
"2017-04-16","22","2017-04-16-22","1255"
"2017-04-16","23","2017-04-16-23","1137"
"2017-04-17","0","2017-04-17-0","936"
"2017-04-17","1","2017-04-17-1","871"
"2017-04-17","2","2017-04-17-2","879"
"2017-04-17","3","2017-04-17-3","534"
"2017-04-17","4","2017-04-17-4","338"
"2017-04-17","5","2017-04-17-5","230"
"2017-04-17","6","2017-04-17-6","552"
"2017-04-17","7","2017-04-17-7","1111"
"2017-04-17","8","2017-04-17-8","2654"
"2017-04-17","9","2017-04-17-9","3750"
"2017-04-17","10","2017-04-17-10","7980"
"2017-04-17","11","2017-04-17-11","13632"
"2017-04-17","12","2017-04-17-12","19462"
"2017-04-17","13","2017-04-17-13","20815"
"2017-04-17","14","2017-04-17-14","18332"
"2017-04-17","15","2017-04-17-15","16198"
"2017-04-17","16","2017-04-17-16","13696"
"2017-04-17","17","2017-04-17-17","10567"
"2017-04-17","18","2017-04-17-18","6074"
"2017-04-17","19","2017-04-17-19","3184"
"2017-04-17","20","2017-04-17-20","1964"
"2017-04-17","21","2017-04-17-21","1421"
"2017-04-17","22","2017-04-17-22","1347"
"2017-04-17","23","2017-04-17-23","694"
"2017-04-18","0","2017-04-18-0","349"
"2017-04-18","1","2017-04-18-1","241"
"2017-04-18","2","2017-04-18-2","97"
"2017-04-18","3","2017-04-18-3","105"
"2017-04-18","4","2017-04-18-4","223"
"2017-04-18","5","2017-04-18-5","282"
"2017-04-18","6","2017-04-18-6","876"
"2017-04-18","7","2017-04-18-7","2931"
"2017-04-18","8","2017-04-18-8","6319"
"2017-04-18","9","2017-04-18-9","6940"
"2017-04-18","10","2017-04-18-10","10998"
"2017-04-18","11","2017-04-18-11","15380"
"2017-04-18","12","2017-04-18-12","22757"
"2017-04-18","13","2017-04-18-13","21536"
"2017-04-18","14","2017-04-18-14","16240"
"2017-04-18","15","2017-04-18-15","14852"
"2017-04-18","16","2017-04-18-16","14446"
"2017-04-18","17","2017-04-18-17","13355"
"2017-04-18","18","2017-04-18-18","8494"
"2017-04-18","19","2017-04-18-19","4244"
"2017-04-18","20","2017-04-18-20","2535"
"2017-04-18","21","2017-04-18-21","1365"
"2017-04-18","22","2017-04-18-22","1535"
"2017-04-18","23","2017-04-18-23","789"
"2017-04-19","0","2017-04-19-0","367"
"2017-04-19","1","2017-04-19-1","216"
"2017-04-19","2","2017-04-19-2","239"
"2017-04-19","3","2017-04-19-3","211"
"2017-04-19","4","2017-04-19-4","223"
"2017-04-19","5","2017-04-19-5","377"
"2017-04-19","6","2017-04-19-6","895"
"2017-04-19","7","2017-04-19-7","2573"
"2017-04-19","8","2017-04-19-8","5660"
"2017-04-19","9","2017-04-19-9","6037"
"2017-04-19","10","2017-04-19-10","8292"
"2017-04-19","11","2017-04-19-11","12457"
"2017-04-19","12","2017-04-19-12","21632"
"2017-04-19","13","2017-04-19-13","22444"
"2017-04-19","14","2017-04-19-14","17294"
"2017-04-19","15","2017-04-19-15","14785"
"2017-04-19","16","2017-04-19-16","14394"
"2017-04-19","17","2017-04-19-17","13909"
"2017-04-19","18","2017-04-19-18","8438"
"2017-04-19","19","2017-04-19-19","4906"
"2017-04-19","20","2017-04-19-20","2605"
"2017-04-19","21","2017-04-19-21","1991"
"2017-04-19","22","2017-04-19-22","1673"
"2017-04-19","23","2017-04-19-23","742"
"2017-04-20","0","2017-04-20-0","560"
"2017-04-20","1","2017-04-20-1","413"
"2017-04-20","2","2017-04-20-2","478"
"2017-04-20","3","2017-04-20-3","387"
"2017-04-20","4","2017-04-20-4","391"
"2017-04-20","5","2017-04-20-5","507"
"2017-04-20","6","2017-04-20-6","932"
"2017-04-20","7","2017-04-20-7","2656"
"2017-04-20","8","2017-04-20-8","5682"
"2017-04-20","9","2017-04-20-9","6418"
"2017-04-20","10","2017-04-20-10","9201"
"2017-04-20","11","2017-04-20-11","13347"
"2017-04-20","12","2017-04-20-12","23264"
"2017-04-20","13","2017-04-20-13","24116"
"2017-04-20","14","2017-04-20-14","18629"
"2017-04-20","15","2017-04-20-15","16603"
"2017-04-20","16","2017-04-20-16","16374"
"2017-04-20","17","2017-04-20-17","15730"
"2017-04-20","18","2017-04-20-18","10813"
"2017-04-20","19","2017-04-20-19","6416"
"2017-04-20","20","2017-04-20-20","3629"
"2017-04-20","21","2017-04-20-21","2668"
"2017-04-20","22","2017-04-20-22","2499"
"2017-04-20","23","2017-04-20-23","1448"
"2017-04-21","0","2017-04-21-0","457"
"2017-04-21","1","2017-04-21-1","343"
"2017-04-21","2","2017-04-21-2","279"
"2017-04-21","3","2017-04-21-3","170"
"2017-04-21","4","2017-04-21-4","189"
"2017-04-21","5","2017-04-21-5","297"
"2017-04-21","6","2017-04-21-6","802"
"2017-04-21","7","2017-04-21-7","2313"
"2017-04-21","8","2017-04-21-8","5382"
"2017-04-21","9","2017-04-21-9","6196"
"2017-04-21","10","2017-04-21-10","8860"
"2017-04-21","11","2017-04-21-11","12944"
"2017-04-21","12","2017-04-21-12","20535"
"2017-04-21","13","2017-04-21-13","20934"
"2017-04-21","14","2017-04-21-14","17306"
"2017-04-21","15","2017-04-21-15","15873"
"2017-04-21","16","2017-04-21-16","15873"
"2017-04-21","17","2017-04-21-17","14102"
"2017-04-21","18","2017-04-21-18","8944"
"2017-04-21","19","2017-04-21-19","5970"
"2017-04-21","20","2017-04-21-20","3519"
"2017-04-21","21","2017-04-21-21","3001"
"2017-04-21","22","2017-04-21-22","3009"
"2017-04-21","23","2017-04-21-23","1865"
"2017-04-22","0","2017-04-22-0","1660"
"2017-04-22","1","2017-04-22-1","1559"
"2017-04-22","2","2017-04-22-2","1282"
"2017-04-22","3","2017-04-22-3","806"
"2017-04-22","4","2017-04-22-4","577"
"2017-04-22","5","2017-04-22-5","445"
"2017-04-22","6","2017-04-22-6","616"
"2017-04-22","7","2017-04-22-7","999"
"2017-04-22","8","2017-04-22-8","2326"
"2017-04-22","9","2017-04-22-9","6004"
"2017-04-22","10","2017-04-22-10","12198"
"2017-04-22","11","2017-04-22-11","18285"
"2017-04-22","12","2017-04-22-12","23475"
"2017-04-22","13","2017-04-22-13","26377"
"2017-04-22","14","2017-04-22-14","27391"
"2017-04-22","15","2017-04-22-15","25777"
"2017-04-22","16","2017-04-22-16","22259"
"2017-04-22","17","2017-04-22-17","17475"
"2017-04-22","18","2017-04-22-18","10586"
"2017-04-22","19","2017-04-22-19","7023"
"2017-04-22","20","2017-04-22-20","4319"
"2017-04-22","21","2017-04-22-21","3354"
"2017-04-22","22","2017-04-22-22","4080"
"2017-04-22","23","2017-04-22-23","3698"
"2017-04-23","0","2017-04-23-0","2483"
"2017-04-23","1","2017-04-23-1","1751"
"2017-04-23","2","2017-04-23-2","1641"
"2017-04-23","3","2017-04-23-3","1088"
"2017-04-23","4","2017-04-23-4","583"
"2017-04-23","5","2017-04-23-5","386"
"2017-04-23","6","2017-04-23-6","349"
"2017-04-23","7","2017-04-23-7","528"
"2017-04-23","8","2017-04-23-8","745"
"2017-04-23","9","2017-04-23-9","1446"
"2017-04-23","10","2017-04-23-10","4880"
"2017-04-23","11","2017-04-23-11","10814"
"2017-04-23","12","2017-04-23-12","14106"
"2017-04-23","13","2017-04-23-13","16040"
"2017-04-23","14","2017-04-23-14","16350"
"2017-04-23","15","2017-04-23-15","14082"
"2017-04-23","16","2017-04-23-16","10182"
"2017-04-23","17","2017-04-23-17","5923"
"2017-04-23","18","2017-04-23-18","3123"
"2017-04-23","19","2017-04-23-19","2335"
"2017-04-23","20","2017-04-23-20","1555"
"2017-04-23","21","2017-04-23-21","1307"
"2017-04-23","22","2017-04-23-22","965"
"2017-04-23","23","2017-04-23-23","559"
"2017-04-24","0","2017-04-24-0","235"
"2017-04-24","1","2017-04-24-1","158"
"2017-04-24","2","2017-04-24-2","97"
"2017-04-24","3","2017-04-24-3","99"
"2017-04-24","4","2017-04-24-4","94"
"2017-04-24","5","2017-04-24-5","284"
"2017-04-24","6","2017-04-24-6","928"
"2017-04-24","7","2017-04-24-7","2632"
"2017-04-24","8","2017-04-24-8","5981"
"2017-04-24","9","2017-04-24-9","6050"
"2017-04-24","10","2017-04-24-10","8216"
"2017-04-24","11","2017-04-24-11","11900"
"2017-04-24","12","2017-04-24-12","21189"
"2017-04-24","13","2017-04-24-13","21994"
"2017-04-24","14","2017-04-24-14","15771"
"2017-04-24","15","2017-04-24-15","14652"
"2017-04-24","16","2017-04-24-16","15101"
"2017-04-24","17","2017-04-24-17","14299"
"2017-04-24","18","2017-04-24-18","8384"
"2017-04-24","19","2017-04-24-19","4118"
"2017-04-24","20","2017-04-24-20","2239"
"2017-04-24","21","2017-04-24-21","1710"
"2017-04-24","22","2017-04-24-22","1119"
"2017-04-24","23","2017-04-24-23","541"
"2017-04-25","0","2017-04-25-0","347"
"2017-04-25","1","2017-04-25-1","200"
"2017-04-25","2","2017-04-25-2","178"
"2017-04-25","3","2017-04-25-3","137"
"2017-04-25","4","2017-04-25-4","262"
"2017-04-25","5","2017-04-25-5","370"
"2017-04-25","6","2017-04-25-6","973"
"2017-04-25","7","2017-04-25-7","3007"
"2017-04-25","8","2017-04-25-8","6319"
"2017-04-25","9","2017-04-25-9","6797"
"2017-04-25","10","2017-04-25-10","9390"
"2017-04-25","11","2017-04-25-11","12464"
"2017-04-25","12","2017-04-25-12","18476"
"2017-04-25","13","2017-04-25-13","17402"
"2017-04-25","14","2017-04-25-14","12879"
"2017-04-25","15","2017-04-25-15","11044"
"2017-04-25","16","2017-04-25-16","11882"
"2017-04-25","17","2017-04-25-17","12618"
"2017-04-25","18","2017-04-25-18","8014"
"2017-04-25","19","2017-04-25-19","4174"
"2017-04-25","20","2017-04-25-20","2222"
"2017-04-25","21","2017-04-25-21","1564"
"2017-04-25","22","2017-04-25-22","1055"
"2017-04-25","23","2017-04-25-23","950"
"2017-04-26","0","2017-04-26-0","514"
"2017-04-26","1","2017-04-26-1","241"
"2017-04-26","2","2017-04-26-2","302"
"2017-04-26","3","2017-04-26-3","324"
"2017-04-26","4","2017-04-26-4","280"
"2017-04-26","5","2017-04-26-5","411"
"2017-04-26","6","2017-04-26-6","1043"
"2017-04-26","7","2017-04-26-7","2956"
"2017-04-26","8","2017-04-26-8","5875"
"2017-04-26","9","2017-04-26-9","6097"
"2017-04-26","10","2017-04-26-10","8743"
"2017-04-26","11","2017-04-26-11","11570"
"2017-04-26","12","2017-04-26-12","20353"
"2017-04-26","13","2017-04-26-13","21987"
