"Date","InCount","outlier"
"2012-05-05","219838",2
"2013-05-05","125823",2
"2014-05-05","118814",2
"2015-05-05","124744",2
"2016-05-05","139016",2
"2010-06-05","227728",2
"2011-06-05","87514",2
"2012-06-05","109074",2
"2013-06-05","135746",2
"2014-06-05","141730",2
"2015-06-05","167614",2
"2016-06-05","99683",2
"2010-07-05","152241",2
"2011-07-05","139367",2
"2012-07-05","142861",2
"2013-07-05","145809",2
"2014-07-05","301952",1
"2015-07-05",NA,0
"2016-07-05","148582",2
"2009-08-05","172886",2
"2010-08-05","167650",2
"2011-08-05","157690",2
"2012-08-05","79700",2
"2013-08-05","118527",2
"2014-08-05","149947",2
"2015-08-05","155364",2
"2016-08-05","173890",2
"2009-09-05","220316",2
"2010-09-05","99989",2
"2011-09-05","137379",2
"2012-09-05","140378",2
"2013-09-05","141207",2
"2014-09-05","138647",2
"2015-09-05",NA,0
"2016-09-05","160336",2
"2009-10-05","164725",2
"2010-10-05","165431",2
"2011-10-05","149486",2
"2012-10-05","163501",2
"2013-10-05","220841",2
"2014-10-05","123664",2
"2015-10-05","118158",2
"2016-10-05","143209",2
"2009-11-05","164187",2
"2010-11-05","168492",2
"2011-11-05","201372",2
"2012-11-05","136449",2
"2013-11-05","108744",2
"2014-11-05","138813",2
"2015-11-05","119929",2
"2016-11-05","217392",2
"2009-12-05","446710",1
"2010-12-05","168063",2
"2011-12-05","175275",2
"2012-12-05","161492",2
"2013-12-05","115082",2
"2014-12-05","192879",2
"2015-12-05","261230",1
"2016-12-05","181840",2
"2010-01-06","101957",2
"2011-01-06","133086",2
"2012-01-06","152141",2
"2013-01-06","82203",2
"2014-01-06","105266",2
"2015-01-06","126719",2
"2016-01-06","136977",2
"2017-01-06","125988",2
"2010-02-06","252491",1
"2011-02-06","86821",2
"2012-02-06","131103",2
"2013-02-06","132306",2
"2014-02-06","129706",2
"2015-02-06","136555",2
"2016-02-06","179923",2
"2017-02-06","135675",2
"2010-03-06","251981",1
"2011-03-06","94709",2
"2012-03-06","150862",2
"2013-03-06","141516",2
"2014-03-06","139725",2
"2015-03-06","160407",2
"2016-03-06","93624",2
"2010-04-06","188762",2
"2011-04-06","161807",2
"2012-04-06","138233",2
"2013-04-06","219316",2
"2014-04-06","94974",2
"2015-04-06","119806",2
"2016-04-06","144936",2
"2010-05-06","136879",2
"2011-05-06","149306",2
"2012-05-06","109841",2
"2013-05-06","129968",2
"2014-05-06","140069",2
"2015-05-06","109575",2
"2016-05-06","151986",2
"2010-06-06","81738",2
"2011-06-06","144396",2
"2012-06-06","182473",2
"2013-06-06","142981",2
"2014-06-06","168779",2
"2015-06-06","210398",2
"2016-06-06","145173",2
"2010-07-06","152722",2
"2011-07-06","137253",2
"2012-07-06","118945",2
"2013-07-06","193078",2
"2014-07-06","96360",2
"2015-07-06","126489",2
"2016-07-06","136027",2
"2009-08-06","188587",2
"2010-08-06","163009",2
"2011-08-06","159190",2
"2012-08-06","134974",2
"2013-08-06","138768",2
"2014-08-06","136161",2
"2015-08-06","150384",2
"2016-08-06","186593",2
"2009-09-06","98793",2
"2010-09-06","147529",2
"2011-09-06","122976",2
"2012-09-06","139137",2
"2013-09-06","114167",2
"2014-09-06","171618",2
"2015-09-06",NA,0
"2016-09-06","169906",2
"2009-10-06","147676",2
"2010-10-06","157617",2
"2011-10-06","129222",2
"2012-10-06","218652",2
"2013-10-06","95555",2
"2014-10-06","114626",2
"2015-10-06","134315",2
"2016-10-06","169829",2
"2009-11-06","175222",2
"2010-11-06","285359",1
"2011-11-06","104083",2
"2012-11-06","110375",2
"2013-11-06","120557",2
"2014-11-06","135649",2
"2015-11-06","152106",2
"2016-11-06","108142",2
"2009-12-06","202952",2
"2010-12-06","192887",2
"2011-12-06","175637",2
"2012-12-06","167658",2
"2013-12-06","190041",2
"2014-12-06","304915",1
"2015-12-06","159295",2
"2016-12-06","181236",2
"2010-01-07","135508",2
"2011-01-07","99600",2
"2012-01-07","194692",2
"2013-01-07","130861",2
"2014-01-07","123968",2
"2015-01-07","118089",2
"2016-01-07","135869",2
"2017-01-07","182902",2
"2010-02-07","96065",2
"2011-02-07","123162",2
"2012-02-07","137612",2
"2013-02-07","145060",2
"2014-02-07","145093",2
"2015-02-07","196742",2
"2016-02-07","106937",2
"2017-02-07","120632",2
"2010-03-07","111825",2
"2011-03-07","130462",2
"2012-03-07","131630",2
"2013-03-07","148013",2
"2014-03-07","130977",2
"2015-03-07","220197",2
"2016-03-07","142338",2
"2010-04-07","165502",2
"2011-04-07","160137",2
"2012-04-07","182174",2
"2013-04-07","105084",2
"2014-04-07","127200",2
"2015-04-07","154304",2
"2016-04-07","146240",2
"2010-05-07","169839",2
"2011-05-07","183430",2
"2012-05-07","107155",2
"2013-05-07","149002",2
"2014-05-07","124581",2
"2015-05-07","136208",2
"2016-05-07","191772",2
"2010-06-07","145513",2
"2011-06-07","132273",2
"2012-06-07","143937",2
"2013-06-07","141087",2
"2014-06-07","172765",2
"2015-06-07","112222",2
"2016-06-07","140316",2
"2010-07-07","139024",2
"2011-07-07","131819",2
"2012-07-07","213141",2
"2013-07-07","88727",2
"2014-07-07","148299",2
"2015-07-07","118249",2
"2016-07-07","134233",2
"2009-08-07","192675",2
"2010-08-07","201020",2
"2011-08-07","83449",2
"2012-08-07","126906",2
"2013-08-07","148971",2
"2014-08-07","153582",2
"2015-08-07","162390",2
"2016-08-07","110991",2
"2009-09-07","175274",2
"2010-09-07","158874",2
"2011-09-07","129170",2
"2012-09-07","147303",2
"2013-09-07","176580",2
"2014-09-07","109785",2
"2015-09-07","137248",2
"2016-09-07","165889",2
"2009-10-07","182714",2
"2010-10-07","171165",2
"2011-10-07","160570",2
"2012-10-07","103096",2
"2013-10-07","122657",2
"2014-10-07","132300",2
"2015-10-07","114766",2
"2016-10-07","182974",2
"2009-11-07","346009",1
"2010-11-07","118119",2
"2011-11-07","127280",2
"2012-11-07","129268",2
"2013-11-07","133907",2
"2014-11-07","140469",2
"2015-11-07","199294",2
"2016-11-07","139049",2
"2009-12-07","227190",2
"2010-12-07","170422",2
"2011-12-07","171559",2
"2012-12-07","174512",2
"2013-12-07","284212",1
"2014-12-07","158309",2
"2015-12-07","172501",2
"2016-12-07","200178",2
"2010-01-08","152703",2
"2011-01-08","188061",2
"2012-01-08","83049",2
"2013-01-08","129751",2
"2014-01-08","105169",2
"2015-01-08","123885",2
"2016-01-08","148483",2
"2017-01-08","96634",2
"2010-02-08","145116",2
"2011-02-08","149849",2
"2012-02-08","142280",2
"2013-02-08","152535",2
"2014-02-08","204814",2
"2015-02-08","91589",2
"2016-02-08","112533",2
"2017-02-08","128970",2
"2010-03-08","152128",2
"2011-03-08","139064",2
"2012-03-08","142394",2
"2013-03-08","146772",2
"2014-03-08","209831",2
"2015-03-08","99086",2
"2016-03-08","128847",2
"2010-04-08","196574",2
"2011-04-08","174823",2
"2012-04-08","28788",1
"2013-04-08","169423",2
"2014-04-08","140309",2
"2015-04-08","157132",2
"2016-04-08","159746",2
"2010-05-08","249239",2
"2011-05-08","93936",2
"2012-05-08","153995",2
"2013-05-08","127927",2
"2014-05-08","121814",2
"2015-05-08","137105",2
"2016-05-08","118248",2
"2010-06-08","137016",2
"2011-06-08","132248",2
"2012-06-08","150158",2
"2013-06-08","192448",2
"2014-06-08","112212",2
"2015-06-08","139623",2
"2016-06-08","132322",2
"2010-07-08","166278",2
"2011-07-08","137683",2
"2012-07-08","100816",2
"2013-07-08","133145",2
"2014-07-08","131860",2
"2015-07-08","124213",2
"2016-07-08","134685",2
"2009-08-08","229349",2
"2010-08-08","88263",2
"2011-08-08","149248",2
"2012-08-08","147242",2
