"Date","InCount","outlier"
"2011-07-06","155057",2
"2011-07-07","153295",2
"2011-07-08","158564",2
"2011-07-09","241836",2
"2011-07-10","103027",2
"2011-07-11","160101",2
"2011-07-12","150554",2
"2011-07-13","152365",2
"2011-07-14","166606",2
"2011-07-15","179532",2
"2011-07-16","218560",2
"2011-07-17","107661",2
"2011-07-18","140898",2
"2011-07-19","168148",2
"2011-07-20","159582",2
"2011-07-21","173798",2
"2011-07-22","178963",2
"2011-07-23","226803",2
"2011-07-24","100617",2
"2011-07-25","160155",2
"2011-07-26","176767",2
"2011-07-27","172806",2
"2011-07-28","189732",2
"2011-07-29","208030",2
"2011-07-30","233242",2
"2011-07-31","104682",2
"2011-08-01","155645",2
"2011-08-02","163710",2
"2011-08-03","156564",2
"2011-08-04","147250",2
"2011-08-05","180968",2
"2011-08-06","182899",2
"2011-08-07","102363",2
"2011-08-08","165201",2
"2011-08-09","170119",2
"2011-08-10","153699",2
"2011-08-11","149686",2
"2011-08-12","161281",2
"2011-08-13","189163",2
"2011-08-14","89573",2
"2011-08-15","153971",2
"2011-08-16","160248",2
"2011-08-17","180528",2
"2011-08-18","172946",2
"2011-08-19","181853",2
"2011-08-20","204004",2
"2011-08-21","98827",2
"2011-08-22","173128",2
"2011-08-23","160991",2
"2011-08-24","172322",2
"2011-08-25","177949",2
"2011-08-26","173152",2
"2011-08-27","209094",2
"2011-08-28","102443",2
"2011-08-29","118552",2
"2011-08-30","164267",2
"2011-08-31","174783",2
"2011-09-01","176219",2
"2011-09-02","186572",2
"2011-09-03","201837",2
"2011-09-04","94105",2
"2011-09-05","151527",2
"2011-09-06","137303",2
"2011-09-07","145350",2
"2011-09-08","150376",2
"2011-09-09","173763",2
"2011-09-10","213007",2
"2011-09-11","98986",2
"2011-09-12","148672",2
"2011-09-13","148313",2
"2011-09-14","149841",2
"2011-09-15","176717",2
"2011-09-16","165319",2
"2011-09-17","216809",2
"2011-09-18","108443",2
"2011-09-19","167099",2
"2011-09-20","166711",2
"2011-09-21","183955",2
"2011-09-22","172941",2
"2011-09-23","193683",2
"2011-09-24","272804",2
"2011-09-25","122844",2
"2011-09-26","178063",2
"2011-09-27","177659",2
"2011-09-28","174469",2
"2011-09-29","174764",2
"2011-09-30","200163",2
"2011-10-01","247322",2
"2011-10-02","112055",2
"2011-10-03","155817",2
"2011-10-04","155715",2
"2011-10-05","169425",2
"2011-10-06","148765",2
"2011-10-07","195497",2
"2011-10-08","231520",2
"2011-10-09","111308",2
"2011-10-10","123190",2
"2011-10-11","149904",2
"2011-10-12","141559",2
"2011-10-13","160732",2
"2011-10-14","189891",2
"2011-10-15","264461",2
"2011-10-16","114075",2
"2011-10-17","142452",2
"2011-10-18","140971",2
"2011-10-19","165576",2
"2011-10-20","167693",2
"2011-10-21","183873",2
"2011-10-22","267852",2
"2011-10-23","113242",2
"2011-10-24","193328",2
"2011-10-25","189892",2
"2011-10-26","197574",2
"2011-10-27","183416",2
"2011-10-28","238110",2
"2011-10-29","247803",2
"2011-10-30","122572",2
"2011-10-31","167361",2
"2011-11-01","160572",2
"2011-11-02","150390",2
"2011-11-03","152511",2
"2011-11-04","178773",2
"2011-11-05","221953",2
"2011-11-06","115966",2
"2011-11-07","140406",2
"2011-11-08","149953",2
"2011-11-09","182992",2
"2011-11-10","221029",2
"2011-11-11","209170",2
"2011-11-12","344532",1
"2011-11-13","135145",2
"2011-11-14","177601",2
"2011-11-15","184482",2
"2011-11-16","192252",2
"2011-11-17","217082",2
"2011-11-18","234356",2
"2011-11-19","368979",1
"2011-11-20","156085",2
"2011-11-21","180604",2
"2011-11-22","187942",2
"2011-11-23","191958",2
"2011-11-24","210096",2
"2011-11-25","218132",2
"2011-11-26","354469",1
"2011-11-27","174870",2
"2011-11-28","203514",2
"2011-11-29","177161",2
"2011-11-30","301033",1
"2011-12-01","224972",2
"2011-12-02","251588",2
"2011-12-03","374532",1
"2011-12-04","152858",2
"2011-12-05","191401",2
"2011-12-06","193419",2
"2011-12-07","190868",2
"2011-12-08","178366",2
"2011-12-09","222519",2
"2011-12-10","359730",1
"2011-12-11","172974",2
"2011-12-12","223513",2
"2011-12-13","215436",2
"2011-12-14","193612",2
"2011-12-15","250538",2
"2011-12-16","261225",2
"2011-12-17","340347",1
"2011-12-18","196846",2
"2011-12-19","274488",2
"2011-12-20","307868",1
"2011-12-21","299425",1
"2011-12-22","354833",1
"2011-12-23","286607",2
"2011-12-24","204329",2
"2011-12-25","4209",1
"2011-12-26","240340",2
"2011-12-27","287597",2
"2011-12-28","283715",2
"2011-12-29","208593",2
"2011-12-30","227873",2
"2011-12-31","184804",2
"2012-01-01","32486",1
"2012-01-02","141394",2
"2012-01-03","129334",2
"2012-01-04","135152",2
"2012-01-05","149768",2
"2012-01-06","169800",2
"2012-01-07","214503",2
"2012-01-08","94484",2
"2012-01-09","155961",2
"2012-01-10","155091",2
"2012-01-11","155671",2
"2012-01-12","167841",2
"2012-01-13","180191",2
"2012-01-14","215423",2
"2012-01-15","88229",2
"2012-01-16","141970",2
"2012-01-17","148770",2
"2012-01-18","155802",2
"2012-01-19","156259",2
"2012-01-20","164789",2
"2012-01-21","212224",2
"2012-01-22","89616",2
"2012-01-23","144178",2
"2012-01-24","127559",2
"2012-01-25","153974",2
"2012-01-26","155250",2
"2012-01-27","172081",2
"2012-01-28","281883",2
"2012-01-29","107268",2
"2012-01-30","158156",2
"2012-01-31","159155",2
"2012-02-01","175162",2
"2012-02-02","166454",2
"2012-02-03","192554",2
"2012-02-04","196501",2
"2012-02-05","82448",2
"2012-02-06","147406",2
"2012-02-07","154610",2
"2012-02-08","164303",2
"2012-02-09","152838",2
"2012-02-10","170136",2
"2012-02-11","235417",2
"2012-02-12","113103",2
"2012-02-13","212193",2
"2012-02-14","212022",2
"2012-02-15","201972",2
"2012-02-16","199181",2
"2012-02-17","207278",2
"2012-02-18","214059",2
"2012-02-19","104180",2
"2012-02-20","149548",2
"2012-02-21","160408",2
"2012-02-22","134652",2
"2012-02-23","162285",2
"2012-02-24","182307",2
"2012-02-25","240711",2
"2012-02-26","102794",2
"2012-02-27","136101",2
"2012-02-28","170496",2
"2012-02-29","169946",2
"2012-03-01","190772",2
"2012-03-02","184380",2
"2012-03-03","246850",2
"2012-03-04","84224",2
"2012-03-05","157211",2
"2012-03-06","170790",2
"2012-03-07","152383",2
"2012-03-08","166723",2
"2012-03-09","184127",2
"2012-03-10","287736",2
"2012-03-11","118334",2
"2012-03-12","158833",2
"2012-03-13","155341",2
"2012-03-14","164285",2
"2012-03-15","189167",2
"2012-03-16","199380",2
"2012-03-17","268448",2
"2012-03-18","110233",2
"2012-03-19","150142",2
"2012-03-20","172662",2
"2012-03-21","155464",2
"2012-03-22","186985",2
"2012-03-23","179974",2
"2012-03-24","269971",2
"2012-03-25","129649",2
"2012-03-26","173531",2
"2012-03-27","189907",2
"2012-03-28","169155",2
"2012-03-29","182307",2
"2012-03-30","199701",2
"2012-03-31","235024",2
"2012-04-01","116320",2
"2012-04-02","168059",2
"2012-04-03","165146",2
"2012-04-04","136537",2
"2012-04-05","231385",2
"2012-04-06","161798",2
"2012-04-07","205194",2
"2012-04-08","43270",1
"2012-04-09","106691",2
"2012-04-10","181759",2
"2012-04-11","176029",2
"2012-04-12","186698",2
"2012-04-13","192722",2
"2012-04-14","186931",2
"2012-04-15","98791",2
"2012-04-16","163545",2
"2012-04-17","172103",2
"2012-04-18","127194",2
"2012-04-19","143592",2
"2012-04-20","197210",2
"2012-04-21","250170",2
"2012-04-22","91664",2
"2012-04-23","139445",2
"2012-04-24","166446",2
"2012-04-25","117356",2
"2012-04-26","148487",2
"2012-04-27","188079",2
"2012-04-28","238070",2
"2012-04-29","75679",2
"2012-04-30","189734",2
"2012-05-01","154603",2
"2012-05-02","190423",2
"2012-05-03","166504",2
"2012-05-04","180167",2
"2012-05-05","254104",2
"2012-05-06","128888",2
"2012-05-07","119826",2
"2012-05-08","172458",2
"2012-05-09","155961",2
"2012-05-10","152250",2
"2012-05-11","168979",2
"2012-05-12","250100",2
"2012-05-13","109668",2
"2012-05-14","167136",2
"2012-05-15","158434",2
"2012-05-16","175410",2
"2012-05-17","162427",2
"2012-05-18","177685",2
"2012-05-19","232998",2
"2012-05-20","115261",2
"2012-05-21","155180",2
"2012-05-22","179001",2
"2012-05-23","184796",2
"2012-05-24","198044",2
"2012-05-25","213542",2
"2012-05-26","254042",2
"2012-05-27","123761",2
"2012-05-28","180196",2
"2012-05-29","187199",2
"2012-05-30","186323",2
"2012-05-31","171394",2
"2012-06-01","202234",2
"2012-06-02","237469",2
"2012-06-03","85815",2
