"Date","InCount","outlier"
"325","2010-06-06","8826",2
"326","2010-06-07","4064",2
"327","2010-06-08","4306",2
"328","2010-06-09","4710",2
"329","2010-06-10","5698",2
"330","2010-06-11","9298",2
"331","2010-06-12","11335",2
"332","2010-06-13","7724",2
"333","2010-06-14","3747",2
"334","2010-06-15","4907",2
"335","2010-06-16","5192",2
"336","2010-06-17","6118",2
"337","2010-06-18","10948",2
"338","2010-06-19","13028",2
"339","2010-06-20","9311",2
"340","2010-06-21","4124",2
"341","2010-06-22","4839",2
"342","2010-06-23","5894",2
"343","2010-06-24","6188",2
"344","2010-06-25","10215",2
"345","2010-06-26","13409",2
"346","2010-06-27","10239",2
"347","2010-06-28","3840",2
"348","2010-06-29","4548",2
"349","2010-06-30","5321",2
"350","2010-07-01","5708",2
"351","2010-07-02","9893",2
"352","2010-07-03","13529",2
"353","2010-07-04","9128",2
"354","2010-07-05","3893",2
"355","2010-07-06","4784",2
"356","2010-07-07","5321",2
"357","2010-07-08","5547",2
"358","2010-07-09","12136",2
"359","2010-07-10","14915",2
"360","2010-07-11","10728",2
"361","2010-07-12","4331",2
"362","2010-07-13","4046",2
"363","2010-07-14","4181",2
"364","2010-07-15","4837",2
"365","2010-07-16","9571",2
"366","2010-07-17","14407",2
"367","2010-07-18","11194",2
"368","2010-07-19","4557",2
"369","2010-07-20","3955",2
"370","2010-07-21","5371",2
"371","2010-07-22","6131",2
"372","2010-07-23","11743",2
"373","2010-07-24","13604",2
"374","2010-07-25","10330",2
"375","2010-07-26","4000",2
"376","2010-07-27","4976",2
"377","2010-07-28","5117",2
"378","2010-07-29","5938",2
"379","2010-07-30","9879",2
"380","2010-07-31","14182",2
"381","2010-08-01","12177",2
"382","2010-08-02","5015",2
"383","2010-08-03","4624",2
"384","2010-08-04","5206",2
"385","2010-08-05","6034",2
"386","2010-08-06","9910",2
"387","2010-08-07","14328",2
"388","2010-08-08","12527",2
"389","2010-08-09","4160",2
"390","2010-08-10","4685",2
"391","2010-08-11","4843",2
"392","2010-08-12","5345",2
"393","2010-08-13","9073",2
"394","2010-08-14","11176",2
"395","2010-08-15","11082",2
"396","2010-08-16","4183",2
"397","2010-08-17","4326",2
"398","2010-08-18","5128",2
"399","2010-08-19","5892",2
"400","2010-08-20","12769",2
"401","2010-08-21","12297",2
"402","2010-08-22","10246",2
"403","2010-08-23","4490",2
"404","2010-08-24","4973",2
"405","2010-08-25","5359",2
"406","2010-08-26","5757",2
"407","2010-08-27","10351",2
"408","2010-08-28","11572",2
"409","2010-08-29","10815",2
"410","2010-08-30","8705",2
"411","2010-08-31","5180",2
"412","2010-09-01","4750",2
"413","2010-09-02","6034",2
"414","2010-09-03","9377",2
"415","2010-09-04","11572",2
"416","2010-09-05","9360",2
"417","2010-09-06","3283",2
"418","2010-09-07","4817",2
"419","2010-09-08","5637",2
"420","2010-09-09","5490",2
"421","2010-09-10","9682",2
"422","2010-09-11","13726",2
"423","2010-09-12","10942",2
"424","2010-09-13","4822",2
"425","2010-09-14","5097",2
"426","2010-09-15","4483",2
"427","2010-09-16","5757",2
"428","2010-09-17","10184",2
"429","2010-09-18","12055",2
"430","2010-09-19","10803",2
"431","2010-09-20","5853",2
"432","2010-09-21","10175",2
"433","2010-09-22","9288",2
"434","2010-09-23","6723",2
"435","2010-09-24","12497",2
"436","2010-09-25","16266",2
"437","2010-09-26","13583",2
"438","2010-09-27","4254",2
"439","2010-09-28","5978",2
"440","2010-09-29","6807",2
"441","2010-09-30","8228",2
"442","2010-10-01","11624",2
"443","2010-10-02","14472",2
"444","2010-10-03","12330",2
"445","2010-10-04","5436",2
"446","2010-10-05","9417",2
"447","2010-10-06","8491",2
"448","2010-10-07","6949",2
"449","2010-10-08","15651",2
"450","2010-10-09","14128",2
"451","2010-10-10","12922",2
"452","2010-10-11","4009",2
"453","2010-10-12","5709",2
"454","2010-10-13","7828",2
"455","2010-10-14","6478",2
"456","2010-10-15","12349",2
"457","2010-10-16","14736",2
"458","2010-10-17","11699",2
"459","2010-10-18","3577",2
"460","2010-10-19","5117",2
"461","2010-10-20","6628",2
"462","2010-10-21","7171",2
"463","2010-10-22","12301",2
"464","2010-10-23","13297",2
"465","2010-10-24","11583",2
"466","2010-10-25","4992",2
"467","2010-10-26","5655",2
"468","2010-10-27","8216",2
"469","2010-10-28","7208",2
"470","2010-10-29","14740",2
"471","2010-10-30","17772",2
"472","2010-10-31","16728",2
"473","2010-11-01","4924",2
"474","2010-11-02","4480",2
"475","2010-11-03","6102",2
"476","2010-11-04","4983",2
"477","2010-11-05","9817",2
"478","2010-11-06","12410",2
"479","2010-11-07","10365",2
"480","2010-11-08","3558",2
"481","2010-11-09","4683",2
"482","2010-11-10","6371",2
"483","2010-11-11","4839",2
"484","2010-11-12","7946",2
"485","2010-11-13","9386",2
"486","2010-11-14","8705",2
"487","2010-11-15","4113",2
"488","2010-11-16","4305",2
"489","2010-11-17","5268",2
"490","2010-11-18","8346",2
"491","2010-11-19","10708",2
"492","2010-11-20","11260",2
"493","2010-11-21","8447",2
"494","2010-11-22","4062",2
"495","2010-11-23","6179",2
"496","2010-11-24","6413",2
"497","2010-11-25","7364",2
"498","2010-11-26","10296",2
"499","2010-11-27","11917",2
"500","2010-11-28","8402",2
"501","2010-11-29","3389",2
"502","2010-11-30","5577",2
"503","2010-12-01","4093",2
"504","2010-12-02","3954",2
"505","2010-12-03","7475",2
"506","2010-12-04","10107",2
"507","2010-12-05","8068",2
"508","2010-12-06","4241",2
"509","2010-12-07","5260",2
"510","2010-12-08","6572",2
"511","2010-12-09","6690",2
"512","2010-12-10","11627",2
"513","2010-12-11","13435",2
"514","2010-12-12","9180",2
"515","2010-12-13","4656",2
"516","2010-12-14","5365",2
"517","2010-12-15","6277",2
"518","2010-12-16","7378",2
"519","2010-12-17","11915",2
"520","2010-12-18","11880",2
"521","2010-12-19","7877",2
"522","2010-12-20","3816",2
"523","2010-12-21","5294",2
"524","2010-12-22","6110",2
"525","2010-12-23","6531",2
"526","2010-12-24","5461",2
"527","2010-12-25","1052",2
"528","2010-12-26","2381",2
"529","2010-12-27","6134",2
"530","2010-12-28","4502",2
"531","2010-12-29","6134",2
"532","2010-12-30","4979",2
"533","2010-12-31","7593",2
"534","2011-01-01","8718",2
"535","2011-01-02","3415",2
"536","2011-01-03","2915",2
"537","2011-01-04","3160",2
"538","2011-01-05","4111",2
"539","2011-01-06","3630",2
"540","2011-01-07","5114",2
"541","2011-01-08","6731",2
"542","2011-01-09","4107",2
"543","2011-01-10","2974",2
"544","2011-01-11","3622",2
"545","2011-01-12","5096",2
"546","2011-01-13","4763",2
"547","2011-01-14","8719",2
"548","2011-01-15","10677",2
"549","2011-01-16","8120",2
"550","2011-01-17","3581",2
"551","2011-01-18","4726",2
"552","2011-01-19","6097",2
"553","2011-01-20","5410",2
"554","2011-01-21","7786",2
"555","2011-01-22","12205",2
"556","2011-01-23","8915",2
"557","2011-01-24","3167",2
"558","2011-01-25","4655",2
"559","2011-01-26","5747",2
"560","2011-01-27","5637",2
"561","2011-01-28","10239",2
"562","2011-01-29","14213",2
"563","2011-01-30","11675",2
"564","2011-01-31","4026",2
"565","2011-02-01","5189",2
"566","2011-02-02","6240",2
"567","2011-02-03","5086",2
"568","2011-02-04","6427",2
"569","2011-02-05","8568",2
"570","2011-02-06","8180",2
"571","2011-02-07","4066",2
"572","2011-02-08","5391",2
"573","2011-02-09","6114",2
"574","2011-02-10","6796",2
"575","2011-02-11","8327",2
"576","2011-02-12","12256",2
"577","2011-02-13","9315",2
"578","2011-02-14","4610",2
"579","2011-02-15","5021",2
"580","2011-02-16","5515",2
"581","2011-02-17","5502",2
"582","2011-02-18","9839",2
"583","2011-02-19","10233",2
"584","2011-02-20","8729",2
"585","2011-02-21","3328",2
"586","2011-02-22","5504",2
"587","2011-02-23","6767",2
"588","2011-02-24","7516",2
"589","2011-02-25","12404",2
"590","2011-02-26","12429",2
"591","2011-02-27","11641",2
"592","2011-02-28","4808",2
"593","2011-03-01","5105",2
"594","2011-03-02","5956",2
"595","2011-03-03","5960",2
"596","2011-03-04","9570",2
"597","2011-03-05","12915",2
"598","2011-03-06","9483",2
"599","2011-03-07","4951",2
"600","2011-03-08","4658",2
"601","2011-03-09","5011",2
"602","2011-03-10","5688",2
"603","2011-03-11","9322",2
"604","2011-03-12","12644",2
