"Date","InCount","BRCWeek","LocationName","Hour","Weekday","NewDate","Month","Year","Day","Day_yr","Month_yr","Week_yr","Hour_yr","week_no","X"
"115","01/01/2011",115,52,"Commercial Street at Barratts",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"116","01/01/2011",116,52,"Commercial Street at Barratts",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"117","01/01/2011",103,52,"Commercial Street at Barratts",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"118","01/01/2011",18,52,"Commercial Street at Sharps",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"119","01/01/2011",37,52,"Commercial Street at Sharps",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"120","01/01/2011",34,52,"Commercial Street at Sharps",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"121","01/01/2011",27,52,"Commercial Street at Sharps",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"122","01/01/2011",46,52,"Commercial Street at Sharps",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"123","01/01/2011",21,52,"Commercial Street at Sharps",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"124","01/01/2011",24,52,"Commercial Street at Sharps",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"125","01/01/2011",9,52,"Commercial Street at Sharps",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"126","01/01/2011",42,52,"Commercial Street at Sharps",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"127","01/01/2011",99,52,"Commercial Street at Sharps",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"128","01/01/2011",283,52,"Commercial Street at Sharps",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"129","01/01/2011",567,52,"Commercial Street at Sharps",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"130","01/01/2011",777,52,"Commercial Street at Sharps",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"131","01/01/2011",862,52,"Commercial Street at Sharps",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"132","01/01/2011",1021,52,"Commercial Street at Sharps",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
