Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Date33,Date444
Leeds,"Briggate at McDonalds	",2018,February,7,Sunday,18/02/2018,,9814,0,9814,9814,0,9814,43149,43149
Leeds,Commercial Street at Barratts,2018,February,7,Sunday,18/02/2018,,12724,0,12724,12724,0,12724,43149,43149
Leeds,Commercial Street at Sharps,2018,February,7,Sunday,18/02/2018,,16529,0,16529,16529,0,16529,43149,43149
Leeds,"Dortmund Square	",2018,February,7,Sunday,18/02/2018,,11289,0,11289,11289,0,11289,43149,43149
Leeds,Headrow,2018,February,7,Sunday,18/02/2018,,11199,0,11199,11199,0,11199,43149,43149
Leeds,Albion Street North,2018,February,8,Monday,19/02/2018,,28472,0,28472,28472,0,28472,43150,43150
Leeds,Albion Street South,2018,February,8,Monday,19/02/2018,,19488,0,19488,19488,0,19488,43150,43150
Leeds,Briggate,2018,February,8,Monday,19/02/2018,,28241,0,28241,28241,0,28241,43150,43150
Leeds,"Briggate at McDonalds	",2018,February,8,Monday,19/02/2018,,8967,0,8967,8967,0,8967,43150,43150
Leeds,Commercial Street at Barratts,2018,February,8,Monday,19/02/2018,,22771,0,22771,22771,0,22771,43150,43150
Leeds,Commercial Street at Sharps,2018,February,8,Monday,19/02/2018,,24560,0,24560,24560,0,24560,43150,43150
Leeds,"Dortmund Square	",2018,February,8,Monday,19/02/2018,,19946,0,19946,19946,0,19946,43150,43150
Leeds,Headrow,2018,February,8,Monday,19/02/2018,,17440,0,17440,17440,0,17440,43150,43150
Leeds,Albion Street North,2018,February,8,Tuesday,20/02/2018,,31613,0,31613,31613,0,31613,43151,43151
Leeds,Albion Street South,2018,February,8,Tuesday,20/02/2018,,19764,0,19764,19764,0,19764,43151,43151
Leeds,Briggate,2018,February,8,Tuesday,20/02/2018,,32312,0,32312,32312,0,32312,43151,43151
Leeds,"Briggate at McDonalds	",2018,February,8,Tuesday,20/02/2018,,9559,0,9559,9559,0,9559,43151,43151
Leeds,Commercial Street at Barratts,2018,February,8,Tuesday,20/02/2018,,15867,0,15867,15867,0,15867,43151,43151
Leeds,Commercial Street at Sharps,2018,February,8,Tuesday,20/02/2018,,23297,0,23297,23297,0,23297,43151,43151
Leeds,"Dortmund Square	",2018,February,8,Tuesday,20/02/2018,,20515,0,20515,20515,0,20515,43151,43151
