"Date","InCount","outlier"
"332","2010-06-13","86275",2
"333","2010-06-14","125548",2
"334","2010-06-15","149743",2
"335","2010-06-16","152725",2
"336","2010-06-17","160125",2
"337","2010-06-18","159787",2
"338","2010-06-19","224563",2
"339","2010-06-20","95961",2
"340","2010-06-21","147080",2
"341","2010-06-22","146474",2
"342","2010-06-23","139409",2
"343","2010-06-24","166355",2
"344","2010-06-25","172530",2
"345","2010-06-26","247886",2
"346","2010-06-27","85014",2
"347","2010-06-28","158471",2
"348","2010-06-29","145411",2
"349","2010-06-30","164136",2
"350","2010-07-01","155779",2
"351","2010-07-02","176268",2
"352","2010-07-03","243909",2
"353","2010-07-04","126290",2
"354","2010-07-05","152241",2
"355","2010-07-06","152722",2
"356","2010-07-07","139024",2
"357","2010-07-08","166278",2
"358","2010-07-09","170213",2
"359","2010-07-10","213552",2
"360","2010-07-11","105850",2
"361","2010-07-12","129288",2
"362","2010-07-13","145773",2
"363","2010-07-14","144603",2
"364","2010-07-15","149991",2
"365","2010-07-16","162684",2
"366","2010-07-17","236101",2
"367","2010-07-18","108616",2
"368","2010-07-19","164755",2
"369","2010-07-20","144031",2
"370","2010-07-21","152499",2
"371","2010-07-22","154883",2
"372","2010-07-23","181824",2
"373","2010-07-24","218282",2
"374","2010-07-25","101858",2
"375","2010-07-26","142700",2
"376","2010-07-27","159688",2
"377","2010-07-28","148067",2
"378","2010-07-29","177003",2
"379","2010-07-30","177958",2
"380","2010-07-31","209718",2
"381","2010-08-01","106358",2
"382","2010-08-02","152038",2
"383","2010-08-03","165119",2
"384","2010-08-04","150224",2
"385","2010-08-05","167650",2
"386","2010-08-06","163009",2
"387","2010-08-07","201020",2
"388","2010-08-08","88263",2
"389","2010-08-09","147791",2
"390","2010-08-10","164816",2
"391","2010-08-11","155325",2
"392","2010-08-12","161202",2
"393","2010-08-13","149847",2
"394","2010-08-14","206070",2
"395","2010-08-15","93073",2
"396","2010-08-16","178711",2
"397","2010-08-17","159598",2
"398","2010-08-18","164918",2
"399","2010-08-19","177086",2
"400","2010-08-20","160698",2
"401","2010-08-21","206733",2
"402","2010-08-22","97940",2
"403","2010-08-23","145629",2
"404","2010-08-24","153047",2
"405","2010-08-25","184067",2
"406","2010-08-26","170791",2
"407","2010-08-27","203684",2
"408","2010-08-28","221117",2
"409","2010-08-29","106193",2
"410","2010-08-30","119819",2
"411","2010-08-31","203923",2
"412","2010-09-01","191542",2
"413","2010-09-02","180738",2
"414","2010-09-03","171576",2
"415","2010-09-04","220748",2
"416","2010-09-05","99989",2
"417","2010-09-06","147529",2
"418","2010-09-07","158874",2
"419","2010-09-08","149764",2
"420","2010-09-09","153521",2
"421","2010-09-10","149797",2
"422","2010-09-11","212128",2
"423","2010-09-12","100034",2
"424","2010-09-13","140350",2
"425","2010-09-14","146252",2
"426","2010-09-15","125637",2
"427","2010-09-16","163788",2
"428","2010-09-17","165361",2
"429","2010-09-18","236902",2
"430","2010-09-19","96330",2
"431","2010-09-20","146928",2
"432","2010-09-21","169347",2
"433","2010-09-22","180746",2
"434","2010-09-23","167717",2
"435","2010-09-24","173634",2
"436","2010-09-25","285253",1
"437","2010-09-26","120536",2
"438","2010-09-27","157409",2
"439","2010-09-28","167415",2
"440","2010-09-29","152103",2
"441","2010-09-30","188848",2
"442","2010-10-01","160313",2
"443","2010-10-02","317571",1
"444","2010-10-03","78869",2
"445","2010-10-04","163938",2
"446","2010-10-05","165431",2
"447","2010-10-06","157617",2
"448","2010-10-07","171165",2
"449","2010-10-08","171887",2
"450","2010-10-09","269254",1
"451","2010-10-10","126154",2
"452","2010-10-11","152607",2
"453","2010-10-12","159363",2
"454","2010-10-13","169530",2
"455","2010-10-14","152202",2
"456","2010-10-15","171512",2
"457","2010-10-16","260013",1
"458","2010-10-17","114771",2
"459","2010-10-18","140939",2
"460","2010-10-19","151098",2
"461","2010-10-20","163617",2
"462","2010-10-21","155778",2
"463","2010-10-22","196305",2
"464","2010-10-23","249171",2
"465","2010-10-24","118386",2
"466","2010-10-25","215323",2
"467","2010-10-26","183027",2
"468","2010-10-27","220239",2
"469","2010-10-28","215259",2
"470","2010-10-29","261655",1
"471","2010-10-30","310232",1
"472","2010-10-31","107541",2
"473","2010-11-01","155671",2
"474","2010-11-02","140497",2
"475","2010-11-03","144801",2
"476","2010-11-04","133063",2
"477","2010-11-05","168492",2
"478","2010-11-06","285359",1
"479","2010-11-07","118119",2
"480","2010-11-08","119584",2
"481","2010-11-09","135777",2
"482","2010-11-10","170007",2
"483","2010-11-11","134242",2
"484","2010-11-12","141513",2
"485","2010-11-13","272855",1
"486","2010-11-14","118407",2
"487","2010-11-15","164013",2
"488","2010-11-16","153740",2
"489","2010-11-17","127964",2
"490","2010-11-18","154452",2
"491","2010-11-19","171001",2
"492","2010-11-20","299061",1
"493","2010-11-21","134793",2
"494","2010-11-22","145330",2
"495","2010-11-23","153599",2
"496","2010-11-24","160388",2
"497","2010-11-25","159864",2
"498","2010-11-26","211953",2
"499","2010-11-27","300810",1
"500","2010-11-28","147257",2
"501","2010-11-29","122449",2
"502","2010-11-30","128036",2
"503","2010-12-01","83623",2
"504","2010-12-02","119222",2
"505","2010-12-03","176746",2
"506","2010-12-04","329233",1
"507","2010-12-05","168063",2
"508","2010-12-06","192887",2
"509","2010-12-07","170422",2
"510","2010-12-08","191808",2
"511","2010-12-09","190731",2
"512","2010-12-10","195160",2
"513","2010-12-11","336125",1
"514","2010-12-12","171633",2
"515","2010-12-13","189125",2
"516","2010-12-14","186885",2
"517","2010-12-15","211654",2
"518","2010-12-16","185600",2
"519","2010-12-17","247540",2
"520","2010-12-18","268245",1
"521","2010-12-19","156021",2
"522","2010-12-20","258517",1
"523","2010-12-21","274541",1
"524","2010-12-22","248687",2
"525","2010-12-23","278048",1
"526","2010-12-24","214427",2
"527","2010-12-25","2972",1
"528","2010-12-26","139955",2
"529","2010-12-27","244387",2
"530","2010-12-28","225251",2
"531","2010-12-29","255028",1
"532","2010-12-30","236691",2
"533","2010-12-31","200376",2
"534","2011-01-01","36097",1
"535","2011-01-02","108425",2
"536","2011-01-03","152232",2
"537","2011-01-04","152624",2
"538","2011-01-05","120271",2
"539","2011-01-06","133086",2
"540","2011-01-07","99600",2
"541","2011-01-08","188061",2
"542","2011-01-09","79457",2
"543","2011-01-10","125449",2
"544","2011-01-11","133980",2
"545","2011-01-12","126570",2
"546","2011-01-13","139415",2
"547","2011-01-14","149422",2
"548","2011-01-15","191734",2
"549","2011-01-16","71785",2
"550","2011-01-17","133904",2
"551","2011-01-18","145241",2
"552","2011-01-19","154778",2
"553","2011-01-20","159210",2
"554","2011-01-21","151743",2
"555","2011-01-22","215968",2
"556","2011-01-23","89639",2
"557","2011-01-24","140644",2
"558","2011-01-25","127326",2
"559","2011-01-26","133475",2
"560","2011-01-27","142334",2
"561","2011-01-28","162924",2
"562","2011-01-29","262870",1
"563","2011-01-30","97310",2
"564","2011-01-31","132375",2
"565","2011-02-01","132762",2
"566","2011-02-02","129659",2
"567","2011-02-03","146735",2
"568","2011-02-04","122180",2
"569","2011-02-05","199415",2
"570","2011-02-06","86821",2
"571","2011-02-07","123162",2
"572","2011-02-08","149849",2
"573","2011-02-09","135902",2
"574","2011-02-10","160726",2
"575","2011-02-11","156589",2
"576","2011-02-12","250746",2
"577","2011-02-13","87550",2
"578","2011-02-14","152016",2
"579","2011-02-15","129555",2
"580","2011-02-16","143238",2
"581","2011-02-17","133642",2
"582","2011-02-18","153976",2
"583","2011-02-19","150849",2
"584","2011-02-20","87833",2
"585","2011-02-21","141205",2
"586","2011-02-22","165116",2
"587","2011-02-23","164831",2
"588","2011-02-24","188319",2
"589","2011-02-25","199962",2
"590","2011-02-26","201614",2
"591","2011-02-27","82903",2
"592","2011-02-28","137741",2
"593","2011-03-01","148088",2
"594","2011-03-02","131356",2
"595","2011-03-03","136562",2
"596","2011-03-04","155487",2
"597","2011-03-05","226584",2
"598","2011-03-06","94709",2
"599","2011-03-07","130462",2
"600","2011-03-08","139064",2
"601","2011-03-09","121938",2
"602","2011-03-10","126920",2
"603","2011-03-11","150467",2
"604","2011-03-12","231181",2
"605","2011-03-13","85542",2
"606","2011-03-14","143669",2
"607","2011-03-15","127746",2
"608","2011-03-16","135943",2
"609","2011-03-17","151305",2
"610","2011-03-18","160579",2
"611","2011-03-19","232810",2
